2023-04-21 20:48:49
Calculation of atomic orbitals for a central potential
Solving Schrodinger eq. by variable sptep-size Numerov method
Green-Sellin-Zachor potential
Z	N	H	D	L	E(a.u.)	  r_max(a.u.)	N. points
6	6	1.25	0.467	0	-0.36	  9.0		300
Normalised radial wavefunction P(r)
 Format r(i), P(i) with r(i)=  0.0001*i^2
 6.051600e+00   7.926143e-02
 6.100900e+00   7.674899e-02
 6.150400e+00   7.429997e-02
 6.200100e+00   7.191336e-02
 6.250000e+00   6.958818e-02
 6.300100e+00   6.732340e-02
 6.350400e+00   6.511801e-02
 6.400900e+00   6.297098e-02
 6.451600e+00   6.088129e-02
 6.502500e+00   5.884790e-02
 6.553600e+00   5.686978e-02
 6.604900e+00   5.494587e-02
 6.656400e+00   5.307514e-02
 6.708100e+00   5.125655e-02
 6.760000e+00   4.948906e-02
 6.812100e+00   4.777163e-02
 6.864400e+00   4.610321e-02
 6.916900e+00   4.448278e-02
 6.969600e+00   4.290931e-02
 7.022500e+00   4.138176e-02
 7.075600e+00   3.989913e-02
 7.128900e+00   3.846039e-02
 7.182400e+00   3.706454e-02
 7.236100e+00   3.571058e-02
 7.290000e+00   3.439752e-02
 7.344100e+00   3.312436e-02
 7.398400e+00   3.189015e-02
 7.452900e+00   3.069390e-02
 7.507600e+00   2.953467e-02
 7.562500e+00   2.841151e-02
 7.617600e+00   2.732348e-02
 7.672900e+00   2.626966e-02
 7.728400e+00   2.524913e-02
 7.784100e+00   2.426099e-02
 7.840000e+00   2.330434e-02
 7.896100e+00   2.237831e-02
 7.952400e+00   2.148203e-02
 8.008900e+00   2.061463e-02
 8.065600e+00   1.977528e-02
 8.122500e+00   1.896314e-02
 8.179600e+00   1.817738e-02
 8.236900e+00   1.741720e-02
 8.294400e+00   1.668181e-02
 8.352100e+00   1.597040e-02
 8.410000e+00   1.528222e-02
 8.468100e+00   1.461649e-02
 8.526400e+00   1.397246e-02
 8.584900e+00   1.334940e-02
 8.643600e+00   1.274658e-02
 8.702500e+00   1.216327e-02
 8.761600e+00   1.159878e-02
 8.820900e+00   1.105239e-02
 8.880400e+00   1.052344e-02
 8.940100e+00   1.001123e-02
 9.000000e+00   9.515107e-03
